ProductID,ProductName,Category,Region,Country,Supplier,UnitPrice,Currency,StockQuantity,LastUpdated
1,Orange,Fruits,North America,China,Fromage Global,1281.31,INR,3890,2025-02-25 08:08:05
2,Sugar,Processed,Africa,Spain,BioAgro Ltd,1530.8,INR,2141,2025-05-08 11:20:41
3,Cocoa Powder,Processed,Oceania,Italy,Fromage Global,758.55,INR,1973,2025-08-15 18:19:42
4,Coffee,Beverages,Africa,South Africa,AgroGlobal,1064.53,INR,4712,2025-09-21 05:45:03
5,Palm Oil,Oilseeds,Europe,Mexico,ThaiAgri Export,1052.75,EUR,877,2025-01-09 13:36:48
6,Yogurt,Dairy,Europe,South Africa,SweetHarvest,721.66,EUR,1350,2025-11-10 18:26:56
7,Soft Drink,Beverages,South America,Italy,Mediterraneo S.A.,1103.89,EUR,2565,2025-05-15 07:04:37
8,Orange Juice,Beverages,Oceania,Spain,DairyWorld,1443.27,INR,342,2025-09-30 20:24:08
9,Mango,Fruits,Asia,USA,AgroPalm Corp,360.04,EUR,4451,2025-07-25 11:43:08
10,Carrot,Vegetables,Oceania,Thailand,Fromage Global,151.47,INR,3746,2025-01-23 10:51:09
11,Wheat,Grains,North America,Indonesia,VeggieCorp,163.04,USD,754,2025-07-21 03:57:09
12,Oats,Grains,Asia,India,FruitEx Intl,108.62,INR,3362,2025-04-01 23:43:29
13,Corn,Grains,Asia,South Africa,VeggieCorp,1328.36,USD,1284,2025-05-14 06:43:41
14,Tea,Beverages,Africa,Brazil,SweetHarvest,383.58,USD,2490,2024-12-26 12:32:08
15,Palm Oil,Oilseeds,North America,Mexico,Mediterraneo S.A.,866.99,INR,3820,2024-11-30 04:33:30
16,Mango,Fruits,North America,China,FruitEx Intl,1990.36,INR,1845,2025-04-29 21:12:31
17,Palm Oil,Oilseeds,Africa,Spain,BeverageWorld,461.48,EUR,3371,2025-04-19 17:14:40
18,Soft Drink,Beverages,North America,India,ThaiAgri Export,1404.95,EUR,4362,2025-02-28 09:58:51
19,Corn,Grains,Europe,Spain,ChocoTrade Ltd,1424.99,EUR,758,2025-10-15 11:20:12
20,Rice,Grains,Africa,Mexico,BeverageWorld,478.14,USD,1138,2025-01-05 20:05:31
21,Coffee,Beverages,Europe,Ghana,Fromage Global,529.44,INR,4827,2025-02-09 01:38:23
22,Milk Powder,Dairy,Oceania,Australia,VeggieCorp,1550.43,EUR,805,2025-07-02 18:42:16
23,Apple,Fruits,Europe,Italy,AgriFoods Inc,569.88,USD,4630,2025-08-30 13:48:01
24,Soft Drink,Beverages,Oceania,Mexico,AgroPalm Corp,925.01,INR,3810,2025-09-30 21:46:13
25,Yogurt,Dairy,Africa,Brazil,ThaiAgri Export,1362.4,USD,1719,2025-05-31 22:48:05
26,Tomato,Vegetables,Oceania,Ghana,VeggieCorp,259.58,USD,3138,2025-11-19 20:15:12
27,Mango,Fruits,Asia,Ghana,AgriFoods Inc,194.87,INR,2034,2025-08-27 17:27:27
28,Yogurt,Dairy,Oceania,China,AgriFoods Inc,438.72,USD,2239,2025-11-15 22:39:40
